Thermocouple 0 (deg C)	Thermocouple 1 (deg C)	Thermocouple 2 (deg C)	Thermocouple 3 (deg C)
20.520	27.276	31.741	19.359
22.082	29.330	32.249	19.819
20.244	27.773	30.417	18.645
21.618	28.719	31.315	20.358
23.015	27.372	30.202	19.535
21.443	28.194	31.346	19.317
20.669	27.629	30.492	18.997
21.394	28.148	30.598	18.702
22.127	28.619	31.632	18.807
21.069	27.595	32.081	19.383
21.646	28.447	31.535	18.497
22.076	28.173	32.469	19.780
22.430	29.414	31.103	20.149
23.241	28.096	31.882	19.712
22.042	27.560	30.016	18.670
21.815	29.204	31.823	19.255
22.274	28.887	31.682	19.397
22.265	28.267	31.792	19.902
20.724	27.566	29.736	17.982
22.165	27.139	31.644	19.087
19.980	26.286	31.078	18.028
21.513	27.301	32.385	19.189
20.157	27.976	30.516	18.146
20.349	27.333	29.694	18.259
22.529	27.817	31.540	19.168
21.869	27.546	29.833	18.429
23.596	29.180	32.578	19.960
19.885	28.036	30.277	17.869
22.011	29.158	31.042	19.146
20.187	26.560	30.625	17.747
20.517	28.274	30.356	18.226
23.738	30.267	32.389	19.863
22.554	29.553	32.137	19.463
20.339	26.483	29.528	17.974
20.378	26.627	29.813	17.727
21.565	27.813	30.642	17.946
22.038	27.776	30.979	19.484
23.242	27.883	31.932	19.312
21.025	28.764	31.682	18.737
20.975	27.569	31.744	18.755
22.255	28.870	31.834	19.194
21.018	29.124	31.591	18.557
21.465	27.741	32.636	18.914
23.825	29.278	31.153	19.431
23.786	29.991	31.700	19.519
22.603	27.625	31.645	18.677
21.762	28.388	31.535	18.528
22.256	28.309	31.025	18.146
20.546	27.682	31.531	17.867
20.857	28.303	31.111	18.146
22.730	29.573	32.345	19.310
21.540	26.620	30.643	17.648
22.466	28.345	29.874	18.055
23.288	28.661	31.132	18.710
20.079	28.050	30.873	17.433
22.355	28.084	32.407	19.198
22.015	28.002	30.815	18.340
22.583	28.472	32.459	18.986
21.498	27.897	30.624	17.138
23.639	27.951	32.619	18.998
21.015	26.103	30.966	17.099
22.288	28.986	31.419	19.004
22.630	28.338	30.167	17.971
21.532	28.753	31.172	18.071
22.150	28.254	30.836	17.968
23.168	29.259	32.848	18.922
22.363	27.825	31.787	18.002
20.447	27.357	29.395	16.940
20.418	28.554	30.846	17.399
22.417	29.394	31.308	18.932
22.403	28.366	31.713	17.685
20.487	27.882	30.039	17.410
20.772	27.449	30.454	17.577
21.481	28.095	30.518	17.151
21.569	26.387	30.529	16.905
22.065	29.696	30.976	18.613
22.412	28.635	30.961	18.215
20.226	26.571	29.959	17.047
22.039	27.980	30.740	17.066
23.217	29.507	31.132	18.314
20.802	25.991	29.106	16.578
22.550	28.450	32.911	18.571
21.850	29.890	31.027	18.479
21.175	29.378	31.266	17.978
22.048	27.400	31.137	16.821
22.114	27.508	31.721	18.108
22.158	28.852	31.156	18.126
22.952	29.099	30.164	17.663
21.386	27.608	29.681	16.845
22.657	29.006	31.296	18.593
23.584	29.751	32.457	18.434
22.418	28.426	30.253	17.357
21.690	26.400	31.322	16.773
23.204	29.123	33.047	18.319
22.096	29.952	32.179	18.161
23.055	28.809	30.783	17.634
21.170	28.930	30.186	17.263
22.620	29.649	31.319	18.240
21.591	26.593	30.186	16.427
23.240	28.727	31.553	18.117
21.323	27.933	31.101	17.782
21.207	28.194	29.565	16.324
21.780	28.640	30.658	16.820
22.963	29.162	32.045	17.943
22.713	28.158	31.098	17.038
21.911	27.369	32.102	17.446
21.086	28.524	30.392	17.335
20.704	27.645	31.015	16.734
21.258	27.425	31.442	16.621
20.114	27.906	29.854	15.997
20.203	27.350	30.086	16.096
23.293	28.600	31.572	17.991
22.225	28.111	31.516	16.471
20.665	26.733	29.944	16.009
20.950	28.096	31.104	16.373
21.671	28.232	32.172	17.559
21.471	27.152	31.968	16.817
21.500	27.582	31.168	16.483
21.818	27.960	31.719	17.773
23.060	28.633	30.926	17.598
22.996	29.178	32.025	17.449
22.815	29.069	30.982	17.653
20.668	27.522	30.107	15.655
22.533	28.102	30.368	16.988
22.056	28.625	32.707	17.670
21.443	26.997	30.987	16.687
21.466	27.261	30.171	16.043
22.531	28.902	29.809	16.327
22.887	27.883	30.855	16.841
22.311	27.226	30.277	16.808
21.634	26.861	30.614	15.548
21.661	27.404	30.454	15.664
22.559	28.349	31.365	16.579
22.136	27.322	29.595	16.079
22.059	29.269	31.391	17.055
20.438	27.843	31.454	15.913
20.986	27.786	31.218	15.490
22.048	28.409	31.190	15.705
22.813	29.026	31.252	17.070
21.688	26.672	30.907	15.681
20.177	28.167	29.544	15.616
22.041	28.706	30.441	16.350
24.023	29.475	32.583	17.365
21.357	28.958	32.330	16.754
20.894	26.828	30.752	15.587
20.085	26.508	28.942	15.130
22.053	27.971	31.741	17.203
21.655	28.060	30.339	16.347
22.632	28.772	32.268	16.498
22.981	28.978	31.524	17.119
22.667	27.158	31.239	16.116
21.624	28.023	29.781	15.236
21.588	28.237	31.101	15.480
21.809	27.176	30.000	15.081
20.760	27.165	29.594	15.262
21.557	26.458	29.525	15.351
21.540	26.584	29.566	15.251
22.558	30.203	32.462	17.018
22.444	27.589	29.673	15.592
21.228	28.337	29.638	15.532
20.701	27.861	31.833	15.554
21.626	29.129	31.144	16.288
22.961	30.026	32.510	16.715
21.245	28.692	31.191	15.311
21.088	27.468	29.577	14.756
21.239	28.415	30.370	15.636
20.785	27.413	30.626	14.697
21.025	27.926	31.469	15.022
21.189	27.330	31.062	14.747
21.912	29.031	32.140	15.769
21.933	29.227	32.692	16.306
20.468	26.681	30.849	15.289
22.691	30.139	31.187	16.582
21.547	29.136	31.394	16.307
22.372	28.080	30.613	15.745
21.077	28.064	31.717	15.525
21.068	28.123	30.561	15.861
21.468	27.485	30.493	14.586
21.818	28.534	30.423	14.913
20.036	27.853	30.023	14.510
22.070	26.418	30.257	14.813
21.607	28.144	30.920	16.144
20.698	27.953	31.188	15.093
22.381	27.205	31.337	14.953
